INSTANCE,ALGORITHM,SEED,STATUS,OBJECTIVE,TIME.SEC,ITERATIONS,RELAXATION,OPT.GAP
ORCS-006-03-I-03-03,greedy,19,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-03,greedy,23,SUBOPTIMAL,26,0,,,
ORCS-006-03-I-03-03,greedy,29,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-01,greedy,2,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-01,greedy,3,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-01,greedy,5,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-01,greedy,7,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-01,greedy,11,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-01,greedy,13,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-01,greedy,17,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-01,greedy,19,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-01,greedy,23,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-01,greedy,29,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-02,greedy,2,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-02,greedy,3,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-02,greedy,5,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-02,greedy,7,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-02,greedy,11,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-02,greedy,13,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-02,greedy,17,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-02,greedy,19,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-02,greedy,23,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-02,greedy,29,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-10-03,greedy,2,SUBOPTIMAL,22,0,,,
ORCS-006-03-R-10-03,greedy,3,SUBOPTIMAL,22,0,,,
ORCS-006-03-R-10-03,greedy,5,SUBOPTIMAL,22,0,,,
ORCS-006-03-R-10-03,greedy,7,SUBOPTIMAL,22,0,,,
ORCS-006-03-R-10-03,greedy,11,SUBOPTIMAL,22,0,,,
ORCS-006-03-R-10-03,greedy,13,SUBOPTIMAL,22,0,,,
ORCS-006-03-R-10-03,greedy,17,SUBOPTIMAL,22,0,,,
ORCS-006-03-R-10-03,greedy,19,SUBOPTIMAL,22,0,,,
ORCS-006-03-R-10-03,greedy,23,SUBOPTIMAL,22,0,,,
ORCS-006-03-R-10-03,greedy,29,SUBOPTIMAL,22,0,,,
ORCS-006-03-R-20-01,greedy,2,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-01,greedy,3,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-01,greedy,5,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-01,greedy,7,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-01,greedy,11,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-01,greedy,13,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-01,greedy,17,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-01,greedy,19,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-01,greedy,23,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-01,greedy,29,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-02,greedy,2,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-02,greedy,3,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-02,greedy,5,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-02,greedy,7,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-02,greedy,11,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-02,greedy,13,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-02,greedy,17,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-02,greedy,19,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-02,greedy,23,SUBOPTIMAL,26,0,,,
ORCS-006-03-R-20-02,greedy,29,SUBOPTIMAL,26,0,,,
